"","popiska","pred_nominaci_pc","po_nominaci_pc","po_vyhlaseni_pc"
"1","2012: Zero Dark Thirty",5.43364681295716,90.1776384535005,4.38871473354232
"2","1983: The Dresser",10.6463878326996,89.3536121673004,0
"3","2006: Letters from Iwo Jima",18.9504373177843,74.3440233236152,6.70553935860058
"4","1988: Dangerous Liaisons",19.3083573487032,72.0461095100865,8.64553314121037
"5","2012: Amour",5.46528803545052,70.9010339734121,23.6336779911374
"6","2007: There Will Be Blood",21.6417910447761,65.6716417910448,12.6865671641791
"7","2011: Extremely Loud & Incredibly Close",35.8152686145146,62.2054665409991,1.97926484448633
"8","1993: In the Name of the Father",25.8964143426295,57.3705179282869,16.7330677290837
"9","2013: Her",43.1535269709544,56.8464730290456,0
"10","2004: Million Dollar Baby",8.45771144278607,56.1194029850746,35.4228855721393
"11","1992: Howards End",33.5907335907336,54.8262548262548,11.5830115830116
"12","2012: Silver Linings Playbook",27.0454545454546,54.0909090909091,18.8636363636364
"13","1992: The Crying Game",22.4,53.76,23.84
"14","1982: Gandhi",22.5378787878788,51.1363636363636,26.3257575757576
"15","1999: The Cider House Rules",36,50.2608695652174,13.7391304347826
"16","2013: Nebraska",51.497005988024,48.502994011976,0
"17","2000: Chocolat",37.8491620111732,46.927374301676,15.2234636871508
"18","1986: Platoon",28.3549783549784,46.7532467532467,24.8917748917749
"19","1984: The Killing Fields",33.6206896551724,46.551724137931,19.8275862068966
"20","1989: My Left Foot",14.1891891891892,45.9459459459459,39.8648648648649
"21","1996: Shine",44.8467966573816,45.6824512534819,9.47075208913649
"22","2008: Frost/Nixon",47.8494623655914,45.6989247311828,6.45161290322581
"23","1987: Hope and Glory",51.948051948052,44.955044955045,3.0969030969031
"24","1988: Mississippi Burning",53.7416931522681,44.2068766252528,2.05143022247905
"25","1996: Secrets & Lies",44.0298507462687,44.0298507462687,11.9402985074627
"26","2008: The Reader",23.6842105263158,43.5672514619883,32.7485380116959
"27","2011: The Artist",27.7404921700224,43.4004474272931,28.8590604026846
"28","2004: Sideways",45.3781512605042,42.9971988795518,11.624649859944
"29","1987: Moonstruck",31.4745972738538,42.8748451053284,25.6505576208178
"30","1984: A Passage to India",49.6323529411765,41.9117647058824,8.45588235294118
"31","2010: The King's Speech",42.7621861152142,41.5805022156573,15.6573116691285
"32","2001: In the Bedroom",54.3175487465181,40.9470752089136,4.73537604456824
"33","2002: The Hours",52.5179856115108,40.7673860911271,6.71462829736211
"34","2002: Chicago",37.8441710603398,40.6561218512009,21.4997070884593
"35","1989: Driving Miss Daisy",31.5196998123827,39.0243902439024,29.4559099437148
"36","2008: Slumdog Millionaire",31.6348195329087,37.93347487615,30.4317055909413
"37","2001: Gosford Park",53.8647342995169,37.43961352657,8.69565217391304
"38","1998: Shakespeare in Love",36.4271457085828,36.5269461077844,27.0459081836327
"39","2010: 127 Hours",61.6812227074236,36.0262008733624,2.29257641921397
"40","2000: Crouching Tiger, Hidden Dragon",47.4629195940671,35.5191256830601,17.0179547228728
"41","1988: Rain Man",56.1017929438982,35.1648351648352,8.73337189126663
"42","2005: Capote",53.4722222222222,35.0694444444444,11.4583333333333
"43","2004: The Aviator",56.9620253164557,34.2745861733204,8.76338851022395
"44","1997: Good Will Hunting",49.7832369942197,34.1040462427746,16.1127167630058
"45","2002: The Pianist",28.2208588957055,33.7423312883436,38.0368098159509
"46","1995: Sense and Sensibility",57.07656612529,33.6426914153132,9.28074245939675
"47","1985: The Color Purple",49.3092454835282,33.4750265674814,17.2157279489904
"48","2013: Philomena",66.7655786350148,33.2344213649852,0
"49","2007: Atonement",64.2436149312377,32.8094302554027,2.94695481335953
"50","2005: Brokeback Mountain",62.2141997593261,32.7316486161251,5.05415162454874
"51","2011: The Descendants",62.3486682808717,32.6876513317191,4.9636803874092
"52","2013: Dallas Buyers Club",67.4698795180723,32.5301204819277,0
"53","1993: Schindler's List",30.8012486992716,31.945889698231,37.2528616024974
"54","1988: Working Girl",65.987460815047,31.3479623824451,2.66457680250784
"55","1986: The Mission",64.6100116414435,30.8498253783469,4.54016298020955
"56","1987: The Last Emperor",27.0454545454545,30.6818181818182,42.2727272727273
"57","1998: Life Is Beautiful",32.2862129144852,30.5410122164049,37.17277486911
"58","2007: Juno",60.6968641114983,30.1742160278746,9.12891986062718
"59","2006: The Queen",63.5398230088496,30.0884955752212,6.3716814159292
"60","2004: Finding Neverland",63.2495164410058,29.7872340425532,6.96324951644101
"61","2000: Traffic",57.3730862207897,29.4117647058824,13.215149073328
"62","1992: Scent of a Woman",54.1269841269841,29.3650793650794,16.5079365079365
"63","2006: Babel",69.3877551020408,29.1545189504373,1.45772594752187
"64","1982: Tootsie",56.8848758465011,28.8939051918736,14.2212189616253
"65","1994: The Shawshank Redemption",59.1549295774648,28.5211267605634,12.3239436619718
"66","2012: Django Unchained",69.1031941031941,28.4398034398034,2.45700245700246
"67","2013: American Hustle",71.9889883000688,28.0110116999312,0
"68","2013: The Wolf of Wall Street",72.1094439541042,27.8905560458958,0
"69","1997: L.A. Confidential",61.5503875968992,27.7519379844961,10.6976744186047
"70","1996: The English Patient",53.8167938931298,26.972010178117,19.2111959287532
"71","2012: Les Miserables (2012)",72.3790322580645,26.2096774193548,1.41129032258065
"72","1995: Il Postino",49.0825688073395,26.1467889908257,24.7706422018349
"73","1997: Titanic",56.3748335552596,26.1151797603196,17.5099866844208
"74","1983: The Right Stuff",74.0566037735849,25.9433962264151,0
"75","1999: American Beauty",57.4173712528824,25.9800153727902,16.6026133743274
"76","1988: The Accidental Tourist",74.2331288343558,25.7668711656442,0
"77","2009: An Education",70.2314445331205,25.5387071029529,4.22984836392658
"78","2003: Mystic River",65.5937846836848,25.638179800222,8.76803551609323
"79","1989: Born on the Fourth of July",69.5714285714286,24.1428571428571,6.28571428571429
"80","2001: A Beautiful Mind",66.6080843585237,24.0187463386057,9.37316930287053
"81","2008: Milk",64.8902821316615,23.5109717868339,11.5987460815047
"82","1982: The Verdict",73.5185185185185,22.5925925925926,3.88888888888889
"83","1997: As Good as It Gets",62.3569023569024,22.4915824915825,15.1515151515152
"84","1987: Broadcast News",71.5399610136452,22.0272904483431,6.4327485380117
"85","1998: ElizabethÃ",71.0963455149502,21.5946843853821,7.30897009966777
"86","1993: The Piano",65.2284263959391,21.5736040609137,13.1979695431472
