nazev,rok,pred_nominaci,po_nominaci,po_vyhlaseni,kategorie
Zero Dark Thirty,2012,5.20,86.30,4.20,nominace
The Dresser,1983,0.56,4.70,NA,nominace
Letters from Iwo Jima,2006,2.60,10.20,0.92,nominace
Dangerous Liaisons,1988,6.70,25.00,3.00,nominace
Amour,2012,0.37,4.80,1.60,nominace
There Will Be Blood,2007,8.70,26.40,5.10,nominace
Extremely Loud & Incredibly Close,2011,11.40,19.80,0.63,nominace
In the Name of the Father,1993,6.50,14.40,4.20,nominace
Her,2013,10.40,13.70,NA,nominace
Million Dollar Baby,2004,8.50,56.40,35.60,vítěz
Howards End,1992,8.70,14.20,3.00,nominace
Silver Linings Playbook,2012,35.70,71.40,24.90,nominace
The Crying Game,1992,14.00,33.60,14.90,nominace
Gandhi,1982,11.90,27.00,13.90,vítěz
The Cider House Rules,1999,20.70,28.90,7.90,nominace
Nebraska,2013,8.60,8.10,NA,nominace
Chocolat,2000,27.10,33.60,10.90,nominace
Platoon,1986,39.30,64.80,34.50,vítěz
The Killing Fields,1984,11.70,16.20,6.90,nominace
My Left Foot,1989,2.10,6.80,5.90,nominace
Shine,1996,16.10,16.40,3.40,nominace
Frost/Nixon,2008,8.90,8.50,1.20,nominace
Hope and Glory,1987,5.20,4.50,0.31,nominace
Mississippi Burning,1988,18.60,15.30,0.71,nominace
Secrets & Lies,1996,5.90,5.90,1.60,nominace
The Reader,2008,8.10,14.90,11.20,nominace
The Artist,2011,12.40,19.40,12.90,vítěz
Sideways,2004,32.40,30.70,8.30,nominace
Moonstruck,1987,25.40,34.60,20.70,nominace
A Passage to India,1984,13.50,11.40,2.30,nominace
The King's Speech,2010,57.90,56.30,21.20,vítěz
In the Bedroom,2001,19.50,14.70,1.70,nominace
The Hours,2002,21.90,17.00,2.80,nominace
Chicago,2002,64.60,69.40,36.70,vítěz
Driving Miss Daisy,1989,33.60,41.60,31.40,vítěz
Slumdog Millionaire,2008,44.70,53.60,43.00,vítěz
Gosford Park,2001,22.30,15.50,3.60,nominace
Shakespeare in Love,1998,36.50,36.60,27.10,vítěz
127 Hours,2010,11.30,6.60,0.42,nominace
"Crouching Tiger, Hidden Dragon",2000,60.80,45.50,21.80,nominace
Rain Man,1988,97.00,60.80,15.10,vítěz
Capote,2005,15.40,10.10,3.30,nominace
The Aviator,2004,58.50,35.20,9.00,nominace
Good Will Hunting,1997,68.90,47.20,22.30,nominace
The Pianist,2002,9.20,11.00,12.40,nominace
Sense and Sensibility,1995,24.60,14.50,4.00,nominace
The Color Purple,1985,46.40,31.50,16.20,nominace
Philomena,2013,22.50,11.20,NA,nominace
Atonement,2007,32.70,16.70,1.50,nominace
Brokeback Mountain,2005,51.70,27.20,4.20,nominace
The Descendants,2011,51.50,27.00,4.10,nominace
Dallas Buyers Club,2013,16.80,8.10,NA,nominace
Schindler's List,1993,29.60,30.70,35.80,vítěz
Working Girl,1988,42.10,20.00,1.70,nominace
The Mission,1986,11.10,5.30,0.78,nominace
The Last Emperor,1987,11.90,13.50,18.60,vítěz
Life Is Beautiful,1998,18.50,17.50,21.30,nominace
Juno,2007,87.10,43.30,13.10,nominace
The Queen,2006,35.90,17.00,3.60,nominace
Finding Neverland,2004,32.70,15.40,3.60,nominace
Traffic,2000,71.20,36.50,16.40,nominace
Scent of a Woman,1992,34.10,18.50,10.40,nominace
Babel,2006,23.80,10.00,0.50,nominace
Tootsie,1982,100.80,51.20,25.20,nominace
The Shawshank Redemption,1994,16.80,8.10,3.50,nominace
Django Unchained,2012,112.50,46.30,4.00,nominace
American Hustle,2013,104.60,40.70,NA,nominace
