"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","1","Zero Dark Thirty","2012","$5.2","5.4%","$86.3","90.2%","$4.2","4.4%","$95.7","Nom"
"2","2","The Dresser","1983","$563k","10.6%","$4.7","89.4%","n/a","-","$5.3","Nom"
"3","3","Letters from Iwo Jima","2006","$2.6","18.9%","$10.2","74.4%","$921k","6.7%","$13.8","Nom"
"4","4","Dangerous Liaisons","1988","$6.7","19.3%","$25.0","72.0%","$3.0","8.7%","$34.7","Nom"
"5","5","Amour","2012","$371k","5.5%","$4.8","70.9%","$1.6","23.6%","$6.7","Nom"
"6","6","There Will Be Blood","2007","$8.7","21.6%","$26.4","65.7%","$5.1","12.7%","$40.2","Nom"
"7","7","Extremely Loud & Incredibly Close","2011","$11.4","35.9%","$19.8","62.1%","$633k","2.0%","$31.8","Nom"
"8","8","In the Name of the Father","1993","$6.5","26.0%","$14.4","57.2%","$4.2","16.7%","$25.1","Nom"
"9","9","Her (2013)","2013","$10.4","43.2%","$13.7","56.8%","n/a","-","$24.2","Nom"
"10","10","Million Dollar Baby","2004","$8.5","8.5%","$56.4","56.1%","$35.6","35.5%","$100.5","Win"
"11","11","Howards End","1992","$8.7","33.7%","$14.2","54.7%","$3.0","11.6%","$26.0","Nom"
"12","12","Silver Linings Playbook","2012","$35.7","27.1%","$71.4","54.1%","$24.9","18.9%","$132.1","Nom"
"13","13","The Crying Game","1992","$14.0","22.4%","$33.6","53.7%","$14.9","23.9%","$62.5","Nom"
"14","14","Gandhi","1982","$11.9","22.5%","$27.0","51.2%","$13.9","26.3%","$52.8","Win"
"15","15","The Cider House Rules","1999","$20.7","36.0%","$28.9","50.2%","$7.9","13.7%","$57.5","Nom"
"16","16","Nebraska","2013","$8.6","51.4%","$8.1","48.6%","n/a","-","$16.7","Nom"
"17","17","Chocolat","2000","$27.1","37.9%","$33.6","47.0%","$10.9","15.2%","$71.5","Nom"
"18","18","Platoon","1986","$39.3","28.4%","$64.8","46.7%","$34.5","24.9%","$138.5","Win"
"19","19","The Killing Fields","1984","$11.7","33.6%","$16.2","46.6%","$6.9","19.8%","$34.7","Nom"
"20","20","My Left Foot","1989","$2.1","14.4%","$6.8","45.8%","$5.9","39.8%","$14.7","Nom"
"21","21","Shine","1996","$16.1","44.9%","$16.4","45.7%","$3.4","9.3%","$35.9","Nom"
"22","22","Frost/Nixon","2008","$8.9","47.7%","$8.5","45.6%","$1.2","6.6%","$18.6","Nom"
"23","23","Hope and Glory","1987","$5.2","52.1%","$4.5","44.7%","$314k","3.1%","$10.0","Nom"
"24","24","Mississippi Burning","1988","$18.6","53.8%","$15.3","44.2%","$713k","2.1%","$34.6","Nom"
"25","25","Secrets & Lies","1996","$5.9","44.2%","$5.9","43.8%","$1.6","11.9%","$13.4","Nom"
"26","26","The Reader","2008","$8.1","23.6%","$14.9","43.7%","$11.2","32.7%","$34.2","Nom"
"27","27","The Artist","2011","$12.4","27.7%","$19.4","43.5%","$12.9","28.9%","$44.7","Win"
"28","28","Sideways","2004","$32.4","45.4%","$30.7","43.0%","$8.3","11.7%","$71.5","Nom"
"29","29","Moonstruck","1987","$25.4","31.5%","$34.6","42.9%","$20.7","25.7%","$80.6","Nom"
"30","30","A Passage to India","1984","$13.5","49.6%","$11.4","42.0%","$2.3","8.4%","$27.2","Nom"
"31","31","The King's Speech","2010","$57.9","42.8%","$56.3","41.6%","$21.2","15.7%","$135.5","Win"
"32","32","In the Bedroom","2001","$19.5","54.3%","$14.7","40.9%","$1.7","4.8%","$35.9","Nom"
"33","33","The Hours","2002","$21.9","52.5%","$17.0","40.8%","$2.8","6.7%","$41.7","Nom"
"34","34","Chicago","2002","$64.6","37.8%","$69.4","40.7%","$36.7","21.5%","$170.7","Win"
"35","35","Driving Miss Daisy","1989","$33.6","31.5%","$41.6","39.0%","$31.4","29.5%","$106.6","Win"
"36","36","Slumdog Millionaire","2008","$44.7","31.6%","$53.6","38.0%","$43.0","30.4%","$141.3","Win"
"37","37","Gosford Park","2001","$22.3","53.9%","$15.5","37.5%","$3.6","8.6%","$41.3","Nom"
"38","38","Shakespeare in Love","1998","$36.5","36.4%","$36.6","36.5%","$27.1","27.0%","$100.3","Win"
"39","39","127 Hours","2010","$11.3","61.7%","$6.6","36.0%","$420k","2.3%","$18.3","Nom"
"40","40","Crouching Tiger, Hidden Dragon","2000","$60.8","47.4%","$45.5","35.5%","$21.8","17.0%","$128.1","Nom"
"41","41","Rain Man","1988","$97.0","56.1%","$60.8","35.2%","$15.1","8.7%","$172.8","Win"
"42","42","Capote","2005","$15.4","53.6%","$10.1","35.0%","$3.3","11.4%","$28.8","Nom"
"43","43","The Aviator","2004","$58.5","57.0%","$35.2","34.3%","$9.0","8.7%","$102.6","Nom"
"44","44","Good Will Hunting","1997","$68.9","49.7%","$47.2","34.1%","$22.3","16.1%","$138.4","Nom"
"45","45","The Pianist","2002","$9.2","28.1%","$11.0","33.9%","$12.4","38.0%","$32.6","Nom"
"46","46","Sense and Sensibility","1995","$24.6","57.0%","$14.5","33.6%","$4.0","9.4%","$43.2","Nom"
"47","47","The Color Purple","1985","$46.4","49.3%","$31.5","33.5%","$16.2","17.2%","$94.2","Nom"
"48","48","Philomena","2013","$22.5","66.8%","$11.2","33.2%","n/a","-","$33.7","Nom"
"49","49","Atonement","2007","$32.7","64.1%","$16.7","32.9%","$1.5","3.0%","$50.9","Nom"
"50","50","Brokeback Mountain","2005","$51.7","62.2%","$27.2","32.8%","$4.2","5.0%","$83.0","Nom"
"51","51","The Descendants","2011","$51.5","62.3%","$27.0","32.7%","$4.1","5.0%","$82.6","Nom"
"52","52","Dallas Buyers Club","2013","$16.8","67.5%","$8.1","32.5%","n/a","-","$24.9","Nom"
"53","53","Schindler's List","1993","$29.6","30.9%","$30.7","31.9%","$35.8","37.2%","$96.1","Win"
"54","54","Working Girl","1988","$42.1","65.9%","$20.0","31.4%","$1.7","2.7%","$63.8","Nom"
"55","55","The Mission","1986","$11.1","64.5%","$5.3","31.0%","$782k","4.5%","$17.2","Nom"
"56","56","The Last Emperor","1987","$11.9","27.1%","$13.5","30.6%","$18.6","42.3%","$44.0","Win"
"57","57","Life Is Beautiful","1998","$18.5","32.3%","$17.5","30.6%","$21.3","37.1%","$57.2","Nom"
"58","58","Juno","2007","$87.1","60.7%","$43.3","30.2%","$13.1","9.1%","$143.5","Nom"
"59","59","The Queen","2006","$35.9","63.5%","$17.0","30.1%","$3.6","6.3%","$56.4","Nom"
"60","60","Finding Neverland","2004","$32.7","63.3%","$15.4","29.7%","$3.6","7.0%","$51.7","Nom"
"61","61","Traffic","2000","$71.2","57.4%","$36.5","29.4%","$16.4","13.2%","$124.1","Nom"
"62","62","Scent of a Woman","1992","$34.1","54.1%","$18.5","29.4%","$10.4","16.5%","$63.1","Nom"
"63","63","Babel","2006","$23.8","69.5%","$10.0","29.1%","$497k","1.4%","$34.3","Nom"
"64","64","Tootsie","1982","$100.8","56.9%","$51.2","28.9%","$25.2","14.2%","$177.2","Nom"
