"","x"
"1","Italy"
"2","France"
"3","Italy"
"4","{co-production} France Italy"
"5","Japan"
"6","France"
"7","—(no award given)"
"8","Japan"
"9","Japan"
"10","Italy"
"11","Germany (West)"
"12","France"
"13","Japan"
"14","Denmark"
"15","Italy"
"16","Germany (West)"
"17","France"
"18","India"
"19","Norway"
"20","France"
"21","Germany (West)"
"22","Spain"
"23","Yugoslavia"
"24","Italy"
"25","France"
"26","Germany (West)"
"27","Italy"
"28","Denmark"
"29","Netherlands"
"30","Sweden"
"31","Italy"
"32","France"
"33","Mexico"
"34","Yugoslavia"
"35","Sweden"
"36","Denmark"
"37","Japan"
"38","Mexico"
"39","Spain"
"40","France"
"41","Greece"
"42","Italy"
"43","Brazil"
"44","Mexico"
"45","Italy"
"46","Poland"
"47","Spain"
"48","Greece"
"49","Japan"
"50","Italy"
"51","Sweden"
"52","Israel"
"53","France"
"54","Japan"
"55","Czechoslovakia"
"56","Greece"
"57","Sweden"
"58","Japan"
"59","Italy"
"60","France"
"61","Italy"
"62","Czechoslovakia"
"63","Poland"
"64","Yugoslavia"
"65","Czechoslovakia"
"66","Spain"
"67","Yugoslavia"
"68","France"
"69","Japan"
"70","Soviet Union"
"71","Hungary"
"72","Czechoslovakia"
"73","Italy"
"74","France"
"75","Algeria"
"76","Sweden"
"77","Yugoslavia"
"78","Soviet Union"
"79","France"
"80","Italy"
"81","Switzerland"
"82","France"
"83","Belgium"
"84","Spain"
"85","Italy"
"86","Japan"
"87","Sweden"
"88","Israel"
"89","Soviet Union"
"90","France"
"91","Soviet Union"
"92","Israel"
"93","Spain"
"94","Sweden"
"95","France"
"96","Israel"
"97","Switzerland"
"98","Germany (West)"
"99","Netherlands"
"100","Italy"
"101","Hungary"
"102","Poland"
"103","France"
"104","Argentina"
"105","Soviet Union"
"106","Mexico"
"107","Poland"
"108","Japan"
"109","Italy"
"110","Ivory Coast"
"111","France"
"112","Germany (East)"
"113","Poland"
"114","Italy"
"115","France"
"116","Greece"
"117","Israel"
"118","Italy"
"119","Spain"
"120","France"
"121","Germany (West)"
"122","Hungary"
"123","Italy"
"124","Soviet Union"
"125","Germany (West)"
"126","Poland"
"127","Spain"
"128","France"
"129","Italy"
"130","Soviet Union"
"131","Hungary"
"132","Japan"
"133","France"
"134","Spain"
"135","Hungary"
"136","Switzerland"
"137","Poland"
"138","Japan"
"139","Italy"
"140","Spain"
"141","Nicaragua"
"142","France"
"143","Sweden"
"144","Soviet Union"
"145","Sweden"
"146","Spain"
"147","France"
"148","Hungary"
"149","Algeria"
"150","Switzerland"
"151","Israel"
"152","Argentina"
"153","Spain"
"154","Soviet Union"
"155","Argentina"
"156","Germany (West)"
"157","Hungary"
"158","France"
"159","Yugoslavia"
"160","Netherlands"
"161","France"
"162","Canada"
"163","Czechoslovakia"
"164","Austria"
"165","Denmark"
"166","France"
"167","Spain"
"168","Italy"
"169","Norway"
"170","Denmark"
"171","Hungary"
"172","Belgium"
"173","India"
"174","Spain"
"175","Italy"
"176","France"
"177","Canada"
"178","Denmark"
"179","Puerto Rico [N]"
"180","Switzerland"
"181","France"
"182","China"
"183","Germany"
"184","Italy"
"185","Italy"
"186","Iceland"
"187","Czechoslovakia"
"188","Sweden"
"189","Hong Kong"
"190","France"
"191","Russia"
"192","Belgium"
"193","Uruguay[O]"
"194","Germany"
"195","Spain"
"196","Hong Kong"
"197","United Kingdom"
"198","Vietnam"
"199","Taiwan"
"200","Russia"
"201","Macedonia"
"202","Taiwan"
"203","Belgium"
"204","Cuba"
"205","Netherlands"
"206","Sweden"
"207","Algeria"
"208","Brazil"
"209","Italy"
"210","Czech Republic"
"211","Georgia"
"212","Norway"
"213","Russia"
"214","France"
"215","Netherlands"
"216","Germany"
"217","Brazil"
"218","Spain"
"219","Russia"
"220","Italy"
"221","Brazil"
"222","Iran"
"223","Spain"
"224","Argentina"
"225","Spain"
"226","Nepal"
"227","France"
"228","United Kingdom"
"229","Sweden"
"230","Taiwan"
"231","Mexico"
"232","Czech Republic"
"233","Belgium"
"234","France"
"235","Bosnia & Herzegovina"
"236","France"
"237","Norway"
"238","India"
"239","Argentina"
"240","Germany"
"241","Mexico"
"242","China"
"243","Finland"
"244","Netherlands"
"245","Canada"
"246","Sweden"
"247","Japan"
"248","Netherlands"
"249","Czech Republic"
"250","Spain"
"251","Sweden"
"252","France"
"253","Germany"
"254","South Africa"
"255","South Africa"
"256","Italy"
"257","France"
"258","Palestine"
"259","Germany"
"260","Germany"
"261","Denmark"
"262","Algeria"
"263","Mexico"
"264","Canada"
"265","Austria"
"266","Russia"
"267","Israel"
"268","Poland"
"269","Kazakhstan"
"270","Japan"
"271","Germany"
"272","France"
"273","Austria"
"274","Israel"
"275","Argentina"
"276","Israel"
"277","Peru"
"278","France"
"279","Germany"
"280","Denmark"
"281","Mexico"
"282","Greece"
"283","Canada"
"284","Algeria"
"285","Iran"
"286","Belgium"
"287","Israel"
"288","Poland"
"289","Canada"
"290","Austria"
"291","Norway"
"292","Chile"
"293","Denmark"
"294","Canada"
"295","Belgium"
"296","Italy"
"297","Denmark"
"298","Cambodia"
"299","Palestine"
