Italy,Itálie
France,Francie
Italy,Itálie
France,Francie
Italy,Itálie
Japan,Japonsko
France,Francie
,cena neudělena
Japan,Japonsko
Japan,Japonsko
Italy,Itálie
Germany,Německo
France,Francie
Japan,Japonsko
Denmark,Dánsko
Italy,Itálie
Germany,Německo
France,Francie
India,Indie
Norway,Norsko
France,Francie
Germany,Německo
Spain,Španělsko
Yugoslavia,Jugoslávie
Italy,Itálie
France,Francie
Germany,Německo
Italy,Itálie
Denmark,Dánsko
Netherlands,Nizozemí
Sweden,Švédsko
Italy,Itálie
France,Francie
Mexico,Mexiko
Yugoslavia,Jugoslávie
Sweden,Švédsko
Denmark,Dánsko
Japan,Japonsko
Mexico,Mexiko
Spain,Španělsko
France,Francie
Greece,Řecko
Italy,Itálie
Brazil,Brazílie
Mexico,Mexiko
Italy,Itálie
Poland,Polsko
Spain,Španělsko
Greece,Řecko
Japan,Japonsko
Italy,Itálie
Sweden,Švédsko
Israel,Izrael
France,Francie
Japan,Japonsko
Czechoslovakia,Československo
Greece,Řecko
Sweden,Švédsko
Japan,Japonsko
Italy,Itálie
France,Francie
Italy,Itálie
Czechoslovakia,Československo
Poland,Polsko
Yugoslavia,Jugoslávie
Czechoslovakia,Československo
Spain,Španělsko
Yugoslavia,Jugoslávie
France,Francie
Japan,Japonsko
Soviet Union,Sovětský svaz
Hungary,Maďarsko
Czechoslovakia,Československo
Italy,Itálie
France,Francie
Algeria,Alžírsko
Sweden,Švédsko
Yugoslavia,Jugoslávie
Soviet Union,Sovětský svaz
France,Francie
Italy,Itálie
Switzerland,Švýcarsko
France,Francie
Belgium,Belgie
Spain,Španělsko
Italy,Itálie
Japan,Japonsko
Sweden,Švédsko
Israel,Izrael
Soviet Union,Sovětský svaz
France,Francie
Soviet Union,Sovětský svaz
Israel,Izrael
Spain,Španělsko
Sweden,Švédsko
France,Francie
Israel,Izrael
Switzerland,Švýcarsko
Germany,Německo
Netherlands,Nizozemí
Italy,Itálie
Hungary,Maďarsko
Poland,Polsko
France,Francie
Argentina,Argentina
Soviet Union,Sovětský svaz
Mexico,Mexiko
Poland,Polsko
Japan,Japonsko
Italy,Itálie
Ivory Coast,Pobřeží slonoviny
France,Francie
Germany,Německo
Poland,Polsko
Italy,Itálie
France,Francie
Greece,Řecko
Israel,Izrael
Italy,Itálie
Spain,Španělsko
France,Francie
Germany,Německo
Hungary,Maďarsko
Italy,Itálie
Soviet Union,Sovětský svaz
Germany,Německo
Poland,Polsko
Spain,Španělsko
France,Francie
Italy,Itálie
Soviet Union,Sovětský svaz
Hungary,Maďarsko
Japan,Japonsko
France,Francie
Spain,Španělsko
Hungary,Maďarsko
Switzerland,Švýcarsko
Poland,Polsko
Japan,Japonsko
Italy,Itálie
Spain,Španělsko
Nicaragua,Nikaragua
France,Francie
Sweden,Švédsko
Soviet Union,Sovětský svaz
Sweden,Švédsko
Spain,Španělsko
France,Francie
Hungary,Maďarsko
Algeria,Alžírsko
Switzerland,Švýcarsko
Israel,Izrael
Argentina,Argentina
Spain,Španělsko
Soviet Union,Sovětský svaz
Argentina,Argentina
Germany,Německo
Hungary,Maďarsko
France,Francie
Yugoslavia,Jugoslávie
Netherlands,Nizozemí
France,Francie
Canada,Kanada
Czechoslovakia,Československo
Austria,Rakousko
Denmark,Dánsko
France,Francie
Spain,Španělsko
Italy,Itálie
Norway,Norsko
Denmark,Dánsko
Hungary,Maďarsko
Belgium,Belgie
India,Indie
Spain,Španělsko
Italy,Itálie
France,Francie
Canada,Kanada
Denmark,Dánsko
Puerto Rico,Portoriko
Switzerland,Švýcarsko
France,Francie
China,Čína
Germany,Německo
Italy,Itálie
Italy,Itálie
Iceland,Island
Czechoslovakia,Československo
Sweden,Švédsko
Hong Kong,Hongkong
France,Francie
Russia,Rusko
Belgium,Belgie
Uruguay,Uruguay
Germany,Německo
Spain,Španělsko
Hong Kong,Hongkong
Britain,Británie
Vietnam,Vietnam
Taiwan,Tchaj-wan
Russia,Rusko
Macedonia,Makedonie
Taiwan,Tchaj-wan
Belgium,Belgie
Cuba,Kuba
Netherlands,Nizozemí
Sweden,Švédsko
Algeria,Alžírsko
Brazil,Brazílie
Italy,Itálie
Czech Republic,Česká republika
Georgia,Gruzie
Norway,Norsko
Russia,Rusko
France,Francie
Netherlands,Nizozemí
Germany,Německo
Brazil,Brazílie
Spain,Španělsko
Russia,Rusko
Italy,Itálie
Brazil,Brazílie
Iran,Írán
Spain,Španělsko
Argentina,Argentina
Spain,Španělsko
Nepal,Nepál
France,Francie
Britain,Británie
Sweden,Švédsko
Taiwan,Tchaj-wan
Mexico,Mexiko
Czech Republic,Česká republika
Belgium,Belgie
France,Francie
Bosnia & Herzegovina,Bosna a Hercegovina
France,Francie
Norway,Norsko
India,Indie
Argentina,Argentina
Germany,Německo
Mexico,Mexiko
China,Čína
Finland,Finsko
Netherlands,Nizozemí
Canada,Kanada
Sweden,Švédsko
Japan,Japonsko
Netherlands,Nizozemí
Czech Republic,Česká republika
Spain,Španělsko
Sweden,Švédsko
France,Francie
Germany,Německo
South Africa,Jižní Afrika
South Africa,Jižní Afrika
Italy,Itálie
France,Francie
Palestine,Palestina
Germany,Německo
Germany,Německo
Denmark,Dánsko
Algeria,Alžírsko
Mexico,Mexiko
