"","rokAll","nazevAll","rozpocetAll"
"1","2012","Argo","Budget: $44,500,000 (estimated)"
"2","2011","The Artist","Budget: $15,000,000 (estimated)"
"3","2010","The King's Speech","Budget: $15,000,000 (estimated)"
"4","2008","The Hurt Locker","Budget: $15,000,000 (estimated)"
"5","2008","Slumdog Millionaire","Budget: $15,000,000 (estimated)"
"6","2007","No Country for Old Men","Budget: $25,000,000 (estimated)"
"7","2006","The Departed","Budget: $90,000,000 (estimated)"
"8","2004","Crash","Budget: $6,500,000 (estimated)"
"9","2004","Million Dollar Baby","Budget: $30,000,000 (estimated)"
"10","2003","The Lord of the Rings: The Return of the King","Budget: $94,000,000 (estimated)"
"11","2002","Chicago","Budget: $45,000,000 (estimated)"
"12","2001","A Beautiful Mind","Budget: $60,000,000 (estimated)"
"13","2000","Gladiator","Budget: $103,000,000 (estimated)"
"14","1999","American Beauty","Budget: $15,000,000 (estimated)"
"15","1998","Shakespeare in Love","Budget: $25,000,000 (estimated)"
"16","1997","Titanic","Budget: $200,000,000 (estimated)"
"17","1996","The English Patient","Budget: $27,000,000 (estimated)"
"18","1995","Braveheart","Budget: $72,000,000 (estimated)"
"19","1994","Forrest Gump","Budget: $55,000,000 (estimated)"
"20","1993","Schindler's List","Budget: $22,000,000 (estimated)"
"21","1992","Unforgiven","Budget: $14,400,000 (estimated)"
"22","1991","The Silence of the Lambs","Budget: $19,000,000 (estimated)"
"23","1990","Dances with Wolves","Budget: $19,000,000 (estimated)"
"24","1989","Driving Miss Daisy","Budget: $7,500,000 (estimated)"
"25","1988","Rain Man","Budget: $25,000,000 (estimated)"
"26","1987","The Last Emperor","Budget: $23,000,000 (estimated)"
"27","1986","Platoon","Budget: $6,000,000 (estimated)"
"28","1985","Out of Africa","Budget: $31,000,000 (estimated)"
"29","1984","Amadeus","Budget: $18,000,000 (estimated)"
"30","1983","Terms of Endearment","Budget: $8,000,000 (estimated)"
"31","1982","Gandhi","Budget: $22,000,000 (estimated)"
"32","1981","Chariots of Fire","Budget: $5,500,000 (estimated)"
"33","1980","Ordinary People","Budget: $6,000,000 (estimated)"
"34","1979","Kramer vs. Kramer","Gross: $106,300,000 (USA)"
"35","1978","The Deer Hunter","Budget: $15,000,000 (estimated)"
"36","1977","Annie Hall","Budget: $4,000,000 (estimated)"
"37","1976","Rocky","Budget: $1,100,000 (estimated)"
"38","1975","One Flew Over the Cuckoo's Nest","Budget: $4,400,000 (estimated)"
"39","1974","The Godfather: Part II","Budget: $13,000,000 (estimated)"
"40","1973","The Sting","Budget: $5,500,000 (estimated)"
"41","1972","The Godfather","Budget: $6,000,000 (estimated)"
"42","1971","The French Connection","Budget: $1,800,000 (estimated)"
"43","1970","Patton","Budget: $12,000,000 (estimated)"
"44","1969","Midnight Cowboy","Budget: $3,600,000 (estimated)"
"45","1968","Oliver!","Budget: $10,000,000 (estimated)"
"46","1967","In the Heat of the Night","Budget: $2,000,000 (estimated)"
"47","1966","A Man for All Seasons","Budget: $2,000,000 (estimated)"
"48","1965","The Sound of Music","Budget: $8,200,000 (estimated)"
"49","1964","My Fair Lady","Budget: $17,000,000 (estimated)"
"50","1963","Tom Jones","Budget: $1,000,000 (estimated)"
"51","1962","Lawrence of Arabia","Budget: $15,000,000 (estimated)"
"52","1961","West Side Story","Budget: $6,000,000 (estimated)"
"53","1960","The Apartment","Budget: $3,000,000 (estimated)"
"54","1959","Ben-Hur","Budget: $15,900,000 (estimated)"
"55","1958","Gigi","Budget: $3,319,355 (estimated)"
"56","1957","The Bridge on the River Kwai","Budget: $3,000,000 (estimated)"
"57","1956","Around the World in Eighty Days","Budget: $6,000,000 (estimated)"
"58","1955","Marty","Budget: $343,000 (estimated)"
"59","1954","On the Waterfront","Budget: $910,000 (estimated)"
"60","1953","From Here to Eternity","Budget: $1,650,000 (estimated)"
"61","1952","The Greatest Show on Earth","Budget: $4,000,000 (estimated)"
"62","1951","An American in Paris","Budget: $2,723,903 (estimated)"
"63","1950","All About Eve","Opening Weekend: $10,177 (USA) (6 October 2000)"
"64","1949","All the King's Men","Production Co: Columbia Pictures Corporation See more »"
"65","1948","Hamlet","Budget: £500,000 (estimated)"
"66","1947","Gentleman's Agreement","Budget: $2,000,000 (estimated)"
"67","1946","The Best Years of Our Lives","Budget: $2,100,000 (estimated)"
"68","1945","The Lost Weekend","Budget: $1,250,000 (estimated)"
"69","1944","Going My Way","Production Co: Paramount Pictures See more »"
"70","1942","Mrs. Miniver","Budget: $1,344,000 (estimated)"
"71","1942","Casablanca","Budget: $950,000 (estimated)"
"72","1941","How Green Was My Valley","Budget: $1,250,000 (estimated)"
"73","1940","Rebecca","Budget: $1,288,000 (estimated)"
"74","1939","Gone with the Wind","Budget: $3,977,000 (estimated)"
"75","1938","You Can't Take It with You","Budget: $1,644,736 (estimated)"
"76","1937","The Life of Emile Zola","Production Co: Warner Bros. See more »"
"77","1936","The Great Ziegfeld","Production Co: Metro-Goldwyn-Mayer (MGM) See more »"
"78","1935","Mutiny on the Bounty","Budget: $1,950,000 (estimated)"
"79","1934","It Happened One Night","Budget: $325,000 (estimated)"
"80","1933","Cavalcade","Budget: $1,180,280 (estimated)"
"81","1932","Grand Hotel","Budget: $700,000 (estimated)"
"82","1931","Cimarron","Budget: $1,433,000 (estimated)"
"83","1930","All Quiet on the Western Front","Budget: $1,448,864 (estimated)"
"84","1929","The Broadway Melody","Gross: $2,808,000 (USA)"
"85","1927","Wings","Budget: $2,000,000 (estimated)"
"86","1927","Sunrise","Show detailed company contact information on IMDbPro »"
